TestID,TrainID,Distance,Judgment
6611,49007,0.07611394673585892,1
159,25768,0.07661115378141403,1
7293,9640,0.0802818089723587,1
6080,9148,0.082431361079216,1
2901,6801,0.08254913985729218,1
896,22402,0.08418002724647522,1
673,34116,0.0886213630437851,1
516,43161,0.09076910465955734,1
3745,44097,0.09914033114910126,1
4989,40396,0.0995243713259697,1
7029,19059,0.10246113687753677,1
3991,17419,0.1037675216794014,1
7052,2362,0.10654829442501068,1
5243,37995,0.10976612567901611,1
4362,45515,0.11102145910263062,1
2830,31706,0.11112931370735168,1
576,34546,0.1120932549238205,1
1071,47578,0.11251889914274216,1
3641,35894,0.11468581855297089,1
1920,37361,0.11710710823535919,1
3520,49426,0.11773654818534851,1
9703,6844,0.11846783757209778,1
4297,3887,0.11889422684907913,1
6563,7524,0.12028677761554718,1
7075,26647,0.12227911502122879,1
4424,41091,0.12243694812059402,1
535,23051,0.122450090944767,1
3663,48375,0.12392151355743408,1
6435,22956,0.12651149928569794,1
8299,35398,0.12753117084503174,1
5863,37987,0.12774038314819336,1
6350,16752,0.12848757207393646,1
4332,12446,0.1289866864681244,1
4105,2889,0.12915107607841492,1
5423,41088,0.1305835098028183,1
3763,17624,0.1312895566225052,1
40,46506,0.13170205056667328,1
2911,11817,0.13355986773967743,1
104,20304,0.1344507932662964,1
7225,37755,0.13459567725658417,1
6503,41379,0.13517192006111145,1
6864,44426,0.1363765299320221,1
6893,37546,0.137261763215065,1
6668,8171,0.13888446986675262,1
6009,11040,0.1389668583869934,1
7264,1148,0.13963691890239716,1
7294,16453,0.14209571480751038,1
374,43135,0.14314137399196625,1
9183,42449,0.14335276186466217,1
9413,2342,0.14380359649658203,2
9112,8368,0.14384876191616058,1
3547,4416,0.144973486661911,2
9677,3589,0.14516249299049377,1
9650,33852,0.1453840583562851,1
4236,22479,0.14540208876132965,1
9788,18927,0.1456732153892517,1
6314,40991,0.14588582515716553,1
3243,1732,0.14603202044963837,1
9852,28767,0.14685581624507904,1
4809,9510,0.14827880263328552,1
5585,7998,0.14914174377918243,1
7326,43586,0.1492655873298645,1
9653,16998,0.14957115054130554,1
5174,11508,0.14974798262119293,1
1579,12668,0.15190961956977844,1
2929,17750,0.15211038291454315,1
6372,10133,0.15289519727230072,1
3931,33873,0.15310946106910706,1
2545,36302,0.15339182317256927,1
5164,5657,0.15340813994407654,1
5132,34794,0.1540200412273407,1
5201,15897,0.15420955419540405,1
6336,12859,0.15428991615772247,1
3445,4410,0.15513518452644348,2
4891,2111,0.15524426102638245,1
3057,45169,0.15536630153656006,1
1777,27754,0.15565529465675354,1
8791,21424,0.15637773275375366,1
7053,49875,0.15677136182785034,1
7631,323,0.15717916190624237,1
3428,6963,0.15766948461532593,1
2369,119,0.15769821405410767,1
6701,45406,0.1580391526222229,1
506,17129,0.15831610560417175,1
8253,45367,0.15847189724445343,1
8031,41432,0.1587507426738739,1
8795,14479,0.15881605446338654,1
4460,18116,0.16046559810638428,1
1327,46124,0.16107213497161865,1
4091,19072,0.16131988167762756,1
9936,31596,0.1617538034915924,1
9738,26335,0.16189192235469818,1
3565,24220,0.1626812070608139,1
4390,38417,0.1635749489068985,1
7185,2323,0.1641198992729187,1
131,43969,0.1647278219461441,1
3170,44698,0.1655525416135788,1
5394,25652,0.1659926474094391,1
8754,4033,0.16666419804096222,2
7066,31042,0.16680291295051575,1
3889,39909,0.16757795214653015,1
2820,35831,0.16781893372535706,1
3293,29555,0.16856986284255981,1
7715,29763,0.1691170483827591,2
5976,49980,0.1698678433895111,1
2148,22196,0.16989381611347198,1
1340,10363,0.17077910900115967,1
2865,25293,0.17078399658203125,1
2631,45133,0.1708691418170929,1
1652,41792,0.17143157124519348,1
6880,35230,0.1716456115245819,1
654,27654,0.17216674983501434,1
7417,3834,0.17289121448993683,1
7925,13090,0.17375816404819489,1
1712,5657,0.1740751713514328,1
7577,31724,0.17438067495822906,1
4039,49063,0.1747746765613556,1
7825,18373,0.17527087032794952,1
4043,43978,0.17727231979370117,1
1562,5291,0.17766696214675903,1
2595,14789,0.17836607992649078,1
7799,4049,0.17839214205741882,1
6921,6463,0.17866824567317963,1
1335,23032,0.17925642430782318,1
8894,34938,0.18044023215770721,2
8523,5375,0.18071749806404114,1
6676,24111,0.1817636340856552,2
4603,2150,0.1828927844762802,1
481,32193,0.18374432623386383,1
8675,14363,0.18402567505836487,1
3322,13447,0.18447405099868774,1
8630,40247,0.18536946177482605,2
4406,18598,0.18538714945316315,1
8356,1901,0.1856512427330017,1
3486,17208,0.18597009778022766,1
1103,12009,0.1863136887550354,1
2967,916,0.18694286048412323,1
1365,10954,0.18732762336730957,2
5604,24891,0.18764998018741608,1
7652,9510,0.18835508823394775,1
7079,21660,0.18838956952095032,1
2678,47946,0.18892067670822144,1
9340,46421,0.18935367465019226,2
779,11247,0.18939711153507233,1
6885,18854,0.18946948647499084,1
9496,33063,0.18971659243106842,1
9408,15592,0.19017787277698517,1
5429,37926,0.19043532013893127,1
5873,31767,0.19059863686561584,1
8132,33287,0.19110643863677979,1
3119,14584,0.19151832163333893,1
9610,1169,0.19177646934986115,1
7678,42215,0.1921105980873108,1
3488,44168,0.19238094985485077,1
803,31738,0.19254261255264282,2
136,4164,0.1932036429643631,1
9951,5956,0.1935824304819107,1
9126,18719,0.19412757456302643,1
3007,21311,0.19424481689929962,1
4868,24360,0.1945284605026245,1
5368,18487,0.19457808136940002,1
3396,19632,0.1957864761352539,1
4042,549,0.19598335027694702,1
2659,16569,0.19652031362056732,1
627,5038,0.19689150154590607,1
7616,37931,0.19705763459205627,1
3530,5291,0.19746313989162445,1
2801,49980,0.19788014888763428,1
5111,46050,0.19853061437606812,1
2057,24687,0.1988803744316101,1
4117,13510,0.19994327425956726,1
5178,47221,0.20105154812335968,1
1313,2582,0.2013581544160843,1
8445,39948,0.20216377079486847,1
1872,4161,0.20232616364955902,2
1608,8488,0.2025355100631714,1
4102,15886,0.20266671478748322,1
3664,45964,0.20353657007217407,2
9632,11015,0.20411498844623566,2
1423,27629,0.20438171923160553,1
1987,28390,0.20442751049995422,2
4886,48063,0.20474012196063995,2
656,9266,0.20481114089488983,2
951,31815,0.20507173240184784,1
9896,5768,0.20516355335712433,1
5971,41579,0.20594647526741028,1
5038,44032,0.20648927986621857,1
5026,28769,0.20720621943473816,1
1974,19707,0.20791810750961304,1
560,24374,0.2090664952993393,1
4992,10446,0.20942142605781555,2
5383,9913,0.21019132435321808,1
3861,12221,0.21098722517490387,1
2093,7591,0.21158359944820404,1
3462,38704,0.21205858886241913,1
149,30108,0.21207235753536224,1
9196,44126,0.21308064460754395,1
235,28866,0.21319334208965302,2
1575,41925,0.21322549879550934,1
6528,7679,0.21327273547649384,1
1857,5439,0.21335990726947784,2
2208,37124,0.21389728784561157,1
6119,46237,0.2139284908771515,2
6413,48184,0.21607589721679688,1
6252,14404,0.21617352962493896,1
4801,14195,0.21642209589481354,1
2863,40047,0.21690131723880768,1
7776,42528,0.21776960790157318,1
902,22337,0.21811474859714508,1
6583,7423,0.21834662556648254,1
6003,5327,0.2183649241924286,1
3784,5837,0.21868187189102173,1
1962,14392,0.21972709894180298,1
9297,31375,0.2197422981262207,1
8854,18841,0.21997706592082977,1
6392,17847,0.22119680047035217,1
9372,38062,0.2214582860469818,2
3697,43032,0.22146986424922943,1
4328,31000,0.2215747982263565,2
9245,12283,0.22165252268314362,1
1781,6537,0.22310419380664825,1
3389,41984,0.22311514616012573,1
3197,7272,0.22324253618717194,1
3794,3387,0.2235642969608307,1
4671,31681,0.22419075667858124,2
4953,48476,0.22467225790023804,1
546,21653,0.2250695824623108,1
8519,18313,0.22532500326633453,1
5382,8086,0.2254061996936798,1
9350,6566,0.22568421065807343,1
3933,17680,0.22585290670394897,1
8802,31128,0.22593814134597778,1
3563,41684,0.22616806626319885,2
8293,8272,0.2262233942747116,2
992,22010,0.2271106243133545,2
856,3473,0.22718200087547302,1
6362,46891,0.2275327742099762,2
2228,32503,0.22759458422660828,1
8730,12651,0.22764591872692108,1
3553,8884,0.22802603244781494,1
1449,36241,0.2281433790922165,1
5647,15989,0.22840474545955658,2
5843,10563,0.2287137657403946,1
102,28610,0.22908978164196014,1
2266,31018,0.23000171780586243,1
390,17815,0.2309054136276245,1
594,22938,0.23155370354652405,2
6483,39842,0.23247520625591278,1
814,17311,0.23258133232593536,2
2376,26835,0.23301249742507935,2
9416,42353,0.23313575983047485,1
8485,20275,0.23341070115566254,1
5800,1852,0.23391270637512207,1
7315,39113,0.2342289835214615,1
985,22784,0.23444822430610657,1
4645,39202,0.23456184566020966,1
8895,28456,0.23478078842163086,1
7570,46679,0.23497922718524933,2
4322,19784,0.23519600927829742,1
5615,26095,0.23538878560066223,2
2786,11129,0.2354123294353485,1
2826,5669,0.23597198724746704,1
9530,6582,0.2366310954093933,1
4153,23462,0.23718133568763733,1
2326,19300,0.23740161955356598,2
31,44160,0.2375933676958084,1
1289,28722,0.237664595246315,1
5606,49063,0.23813587427139282,1
2019,27818,0.2384042888879776,1
7239,33273,0.23902501165866852,1
7604,41322,0.23922617733478546,1
1565,12221,0.23939478397369385,1
2146,5903,0.23947395384311676,2
983,27220,0.2396332025527954,1
4430,29290,0.23973515629768372,1
5036,23462,0.23984849452972412,1
1038,10505,0.24006609618663788,2
8080,24836,0.24100179970264435,1
2728,22977,0.24119240045547485,1
892,17668,0.24264679849147797,1
3768,9898,0.24277277290821075,1
